Wavelength (nm),Au_n,Au_k				
417,1.46,1.96				
418,1.46,1.96				
419,1.46,1.95				
420,1.46,1.95				
421,1.46,1.95				
422,1.45,1.95				
423,1.45,1.95				
424,1.45,1.95				
425,1.45,1.95				
426,1.45,1.95				
427,1.45,1.95				
428,1.45,1.95				
429,1.45,1.95				
430,1.45,1.95				
431,1.45,1.95				
432,1.44,1.95				
433,1.44,1.94				
434,1.44,1.94				
435,1.43,1.94				
436,1.43,1.94				
437,1.43,1.94				
438,1.42,1.94				
439,1.42,1.93				
440,1.42,1.93				
441,1.41,1.93				
442,1.41,1.93				
443,1.41,1.93				
444,1.4,1.93				
445,1.4,1.92				
446,1.4,1.92				
447,1.39,1.92				
448,1.39,1.92				
449,1.39,1.92				
450,1.38,1.92				
451,1.38,1.91				
452,1.38,1.91				
453,1.37,1.91				
454,1.37,1.9				
455,1.37,1.9				
456,1.36,1.9				
457,1.36,1.89				
458,1.36,1.89				
459,1.35,1.89				
460,1.35,1.89				
461,1.35,1.88				
462,1.34,1.88				
463,1.34,1.88				
464,1.34,1.87				
465,1.33,1.87				
466,1.33,1.87				
467,1.33,1.86				
468,1.32,1.86				
469,1.32,1.86				
470,1.31,1.85				
471,1.31,1.85				
472,1.3,1.85				
473,1.29,1.85				
474,1.28,1.85				
475,1.27,1.85				
476,1.26,1.85				
477,1.25,1.85				
478,1.24,1.84				
479,1.23,1.84				
480,1.22,1.84				
481,1.2,1.84				
482,1.19,1.84				
483,1.18,1.84				
484,1.17,1.84				
485,1.16,1.84				
486,1.15,1.84				
487,1.14,1.84				
488,1.13,1.84				
489,1.12,1.84				
490,1.11,1.84				
491,1.09,1.84				
492,1.08,1.84				
493,1.07,1.83				
494,1.06,1.83				
495,1.05,1.83				
496,1.04,1.83				
497,1.02,1.84				
498,1,1.85				
499,0.99,1.86				
500,0.97,1.87				
501,0.95,1.88				
502,0.94,1.89				
503,0.92,1.9				
504,0.9,1.91				
505,0.89,1.92				
506,0.87,1.93				
507,0.85,1.94				
508,0.84,1.95				
509,0.82,1.96				
510,0.8,1.97				
511,0.79,1.98				
512,0.77,1.99				
513,0.75,2				
514,0.74,2.01				
515,0.72,2.02				
516,0.7,2.03				
517,0.69,2.04				
518,0.67,2.05				
519,0.65,2.06				
520,0.64,2.07				
521,0.62,2.08				
522,0.61,2.1				
523,0.61,2.11				
524,0.6,2.12				
525,0.59,2.14				
526,0.59,2.15				
527,0.58,2.16				
528,0.57,2.18				
529,0.56,2.19				
530,0.56,2.2				
531,0.55,2.22				
532,0.54,2.23				
533,0.54,2.24				
534,0.53,2.26				
535,0.52,2.27				
536,0.52,2.28				
537,0.51,2.3				
538,0.5,2.31				
539,0.5,2.33				
540,0.49,2.34				
541,0.48,2.35				
542,0.48,2.37				
543,0.47,2.38				
544,0.46,2.39				
545,0.45,2.41				
546,0.45,2.42				
547,0.44,2.43				
548,0.43,2.45				
549,0.43,2.46				
550,0.42,2.47				
551,0.42,2.48				
552,0.42,2.5				
553,0.41,2.51				
554,0.41,2.52				
555,0.4,2.53				
556,0.4,2.55				
557,0.39,2.56				
558,0.39,2.57				
559,0.39,2.58				
560,0.38,2.59				
561,0.38,2.61				
562,0.37,2.62				
563,0.37,2.63				
564,0.37,2.64				
565,0.36,2.65				
566,0.36,2.67				
567,0.35,2.68				
568,0.35,2.69				
569,0.34,2.7				
570,0.34,2.72				
571,0.34,2.73				
572,0.33,2.74				
573,0.33,2.75				
574,0.32,2.76				
575,0.32,2.78				
576,0.32,2.79				
577,0.31,2.8				
578,0.31,2.81				
579,0.3,2.83				
580,0.3,2.84				
581,0.29,2.85				
582,0.29,2.86				
583,0.29,2.87				
584,0.29,2.89				
585,0.28,2.9				
586,0.28,2.91				
587,0.28,2.92				
588,0.28,2.93				
589,0.27,2.94				
590,0.27,2.96				
591,0.27,2.97				
592,0.27,2.98				
593,0.26,2.99				
594,0.26,3				
595,0.26,3.02				
596,0.26,3.03				
597,0.26,3.04				
598,0.25,3.05				
599,0.25,3.06				
600,0.25,3.07				
601,0.25,3.09				
602,0.24,3.1				
603,0.24,3.11				
604,0.24,3.12				
605,0.24,3.13				
606,0.23,3.14				
607,0.23,3.16				
608,0.23,3.17				
609,0.23,3.18				
610,0.23,3.19				
611,0.22,3.2				
612,0.22,3.22				
613,0.22,3.23				
614,0.22,3.24				
615,0.21,3.25				
616,0.21,3.26				
617,0.21,3.27				
618,0.21,3.28				
619,0.21,3.29				
620,0.2,3.3				
621,0.2,3.31				
622,0.2,3.32				
623,0.2,3.33				
624,0.2,3.34				
625,0.2,3.35				
626,0.19,3.36				
627,0.19,3.37				
628,0.19,3.38				
629,0.19,3.39				
630,0.19,3.4				
631,0.19,3.41				
632,0.19,3.42				
633,0.18,3.43				
634,0.18,3.44				
635,0.18,3.45				
636,0.18,3.46				
637,0.18,3.47				
638,0.18,3.48				
639,0.17,3.49				
640,0.17,3.5				
641,0.17,3.51				
642,0.17,3.52				
643,0.17,3.53				
644,0.17,3.54				
645,0.16,3.55				
646,0.16,3.56				
647,0.16,3.57				
648,0.16,3.58				
649,0.16,3.59				
650,0.16,3.6				
651,0.15,3.61				
652,0.15,3.62				
653,0.15,3.63				
654,0.15,3.64				
655,0.15,3.65				
656,0.15,3.66				
657,0.14,3.67				
658,0.14,3.68				
659,0.14,3.69				
660,0.14,3.7				
661,0.14,3.71				
662,0.14,3.72				
663,0.14,3.73				
664,0.14,3.74				
665,0.14,3.75				
666,0.14,3.76				
667,0.14,3.76				
668,0.14,3.77				
669,0.14,3.78				
670,0.14,3.79				
671,0.14,3.8				
672,0.14,3.81				
673,0.14,3.82				
674,0.14,3.83				
675,0.14,3.84				
676,0.14,3.85				
677,0.14,3.85				
678,0.14,3.86				
679,0.14,3.87				
680,0.14,3.88				
681,0.14,3.89				
682,0.14,3.9				
683,0.13,3.91				
684,0.13,3.92				
685,0.13,3.93				
686,0.13,3.94				
687,0.13,3.95				
688,0.13,3.95				
689,0.13,3.96				
690,0.13,3.97				
691,0.13,3.98				
692,0.13,3.99				
693,0.13,4				
694,0.13,4.01				
695,0.13,4.02				
696,0.13,4.03				
697,0.13,4.04				
698,0.13,4.04				
699,0.13,4.05				
700,0.13,4.06				
701,0.13,4.07				
702,0.13,4.08				
703,0.13,4.09				
704,0.13,4.1				
705,0.13,4.11				
706,0.13,4.12				
707,0.13,4.12				
708,0.13,4.13				
709,0.13,4.14				
710,0.13,4.15				
711,0.13,4.16				
712,0.13,4.17				
713,0.13,4.18				
714,0.13,4.18				
715,0.13,4.19				
716,0.13,4.2				
717,0.13,4.21				
718,0.13,4.22				
719,0.13,4.23				
720,0.13,4.24				
721,0.13,4.24				
722,0.13,4.25				
723,0.13,4.26				
724,0.13,4.27				
725,0.13,4.28				
726,0.13,4.29				
727,0.13,4.29				
728,0.13,4.3				
729,0.13,4.31				
730,0.13,4.32				
731,0.14,4.33				
732,0.14,4.34				
733,0.14,4.35				
734,0.14,4.35				
735,0.14,4.36				
736,0.14,4.37				
737,0.14,4.38				
738,0.14,4.39				
739,0.14,4.4				
740,0.14,4.41				
741,0.14,4.41				
742,0.14,4.42				
743,0.14,4.43				
744,0.14,4.44				
745,0.14,4.45				
746,0.14,4.46				
747,0.14,4.47				
748,0.14,4.47				
749,0.14,4.48				
750,0.14,4.49				
751,0.14,4.5				
752,0.14,4.51				
753,0.14,4.52				
754,0.14,4.52				
755,0.14,4.53				
756,0.14,4.54				
757,0.14,4.55				
758,0.14,4.56				
759,0.14,4.57				
760,0.14,4.58				
761,0.14,4.58				
762,0.14,4.59				
763,0.14,4.6				
764,0.14,4.61				
765,0.14,4.62				
766,0.14,4.63				
767,0.14,4.63				
768,0.14,4.64				
769,0.14,4.65				
770,0.14,4.66				
771,0.14,4.67				
772,0.14,4.67				
773,0.15,4.68				
774,0.15,4.69				
775,0.15,4.7				
776,0.15,4.71				
777,0.15,4.72				
778,0.15,4.72				
779,0.15,4.73				
780,0.15,4.74				
781,0.15,4.75				
782,0.15,4.76				
783,0.15,4.77				
784,0.15,4.77				
785,0.15,4.78				
786,0.15,4.79				
787,0.15,4.8				
788,0.15,4.81				
789,0.15,4.82				
790,0.15,4.82				
791,0.15,4.83				
792,0.15,4.84				
793,0.15,4.85				
794,0.15,4.86				
795,0.15,4.87				
796,0.15,4.87				
797,0.15,4.88				
798,0.15,4.89				
799,0.15,4.9				
800,0.15,4.91				
