Wavelength (nm),PTB7_PCBM_n,PTB7_PCBM_k
730,2.20684,0.0578
731,2.20354,0.05476
732,2.20025,0.05187
733,2.19698,0.0491
734,2.19373,0.04647
735,2.1905,0.04396
736,2.1873,0.04157
737,2.18411,0.0393
738,2.18095,0.03714
739,2.1778,0.0351
740,2.17468,0.03316
741,2.17159,0.03132
742,2.16851,0.02958
743,2.16546,0.02794
744,2.16244,0.0264
745,2.15943,0.02494
746,2.15646,0.02356
747,2.15351,0.02227
748,2.15058,0.02105
749,2.14768,0.01991
750,2.14481,0.01884
751,2.14197,0.01783
752,2.13915,0.01689
753,2.13637,0.016
754,2.13361,0.01517
755,2.13088,0.0144
756,2.12817,0.01367
757,2.1255,0.01298
758,2.12286,0.01234
759,2.12025,0.01173
760,2.11768,0.01115
761,2.11513,0.01061
762,2.11261,0.01009
763,2.11013,0.0096
764,2.10768,0.00913
765,2.10527,0.00869
766,2.10289,0.00828
767,2.10054,0.00789
768,2.09823,0.00752
769,2.09595,0.00718
770,2.09371,0.00685
771,2.0915,0.00655
772,2.08933,0.00627
773,2.0872,0.00601
774,2.0851,0.00577
775,2.08305,0.00555
776,2.08103,0.00535
777,2.07905,0.00517
778,2.07711,0.005
779,2.07521,0.00485
780,2.07335,0.00472
781,2.07153,0.0046
782,2.06975,0.0045
783,2.06801,0.00441
784,2.06631,0.00433
785,2.06465,0.00427
786,2.06302,0.00422
787,2.06144,0.00418
788,2.05989,0.00415
789,2.05838,0.00413
790,2.0569,0.00413
791,2.05546,0.00413
792,2.05405,0.00414
793,2.05268,0.00416
794,2.05134,0.00418
795,2.05003,0.00422
796,2.04876,0.00426
797,2.04751,0.0043
798,2.0463,0.00435
799,2.04511,0.0044
800,2.04396,0.00446
801,2.04283,0.00452
802,2.04173,0.00458
803,2.04066,0.00465
804,2.03962,0.00471
805,2.0386,0.00478
806,2.0376,0.00485
807,2.03663,0.00491
808,2.03569,0.00498
809,2.03477,0.00504
810,2.03387,0.0051
811,2.03299,0.00516
812,2.03213,0.00522
813,2.03129,0.00527
814,2.03048,0.00533
815,2.02968,0.00538
816,2.0289,0.00543
817,2.02814,0.00548
818,2.0274,0.00553
819,2.02668,0.00557
820,2.02597,0.00562
821,2.02527,0.00566
822,2.02459,0.0057
823,2.02393,0.00574
824,2.02327,0.00578
825,2.02264,0.00582
826,2.02201,0.00585
827,2.02139,0.00589
828,2.02079,0.00592
829,2.02019,0.00595
830,2.01961,0.00598
831,2.01903,0.00601
832,2.01846,0.00604
833,2.0179,0.00606
834,2.01735,0.00609
835,2.0168,0.00611
836,2.01626,0.00613
837,2.01572,0.00616
838,2.01519,0.00618
839,2.01466,0.00619
840,2.01414,0.00621
841,2.01361,0.00623
842,2.01309,0.00624
843,2.01257,0.00626
844,2.01205,0.00627
845,2.01153,0.00628
846,2.01101,0.00629
847,2.01048,0.0063
848,2.00996,0.00631
849,2.00943,0.00632
850,2.0089,0.00633
851,2.00836,0.00633
852,2.00782,0.00634
853,2.00727,0.00634
854,2.00672,0.00635
855,2.00616,0.00635
856,2.0056,0.00635
857,2.00503,0.00635
858,2.00445,0.00635
859,2.00388,0.00635
860,2.0033,0.00635
861,2.00271,0.00635
862,2.00213,0.00634
863,2.00154,0.00634
864,2.00095,0.00633
865,2.00036,0.00633
866,1.99976,0.00632
867,1.99917,0.00631
868,1.99858,0.00631
869,1.99798,0.0063
870,1.99739,0.00629
871,1.9968,0.00628
872,1.99621,0.00627
873,1.99563,0.00626
874,1.99504,0.00625
875,1.99446,0.00624
876,1.99388,0.00623
877,1.99331,0.00622
878,1.99274,0.0062
879,1.99217,0.00619
880,1.99162,0.00618
881,1.99106,0.00616
