Wavelength (nm),NiOx_n,NiOx_k
777,1.92223,0.03167
778,1.92215,0.03166
779,1.92202,0.03165
780,1.92187,0.0316
781,1.92172,0.03155
782,1.92157,0.03151
783,1.92142,0.03146
784,1.92127,0.03141
785,1.92112,0.03136
786,1.92097,0.03131
787,1.92082,0.03127
788,1.92067,0.03122
789,1.92053,0.03117
790,1.92039,0.03112
791,1.92025,0.03107
792,1.92012,0.03102
793,1.91998,0.03097
794,1.91985,0.03092
795,1.91971,0.03087
796,1.91957,0.03082
797,1.91944,0.03077
798,1.9193,0.03072
799,1.91917,0.03067
800,1.91904,0.03057
801,1.91891,0.03047
802,1.91878,0.03037
803,1.91866,0.03027
804,1.91853,0.03016
805,1.9184,0.03006
806,1.91827,0.02996
807,1.91814,0.02986
808,1.91802,0.02976
809,1.91791,0.02967
810,1.91784,0.02963
811,1.91778,0.02959
812,1.91771,0.02955
813,1.91764,0.02951
814,1.91757,0.02948
815,1.91751,0.02944
816,1.91744,0.0294
817,1.91737,0.02936
818,1.9173,0.02933
819,1.91722,0.02927
820,1.91711,0.02917
821,1.917,0.02907
822,1.91688,0.02898
823,1.91677,0.02888
824,1.91666,0.02878
825,1.91655,0.02868
826,1.91644,0.02858
827,1.91633,0.02848
828,1.91622,0.02838
829,1.9161,0.02829
830,1.91597,0.02817
831,1.91582,0.02806
832,1.91567,0.02794
833,1.91552,0.02782
834,1.91538,0.0277
835,1.91523,0.02759
836,1.91508,0.02747
837,1.91493,0.02735
838,1.91478,0.02726
839,1.91469,0.02727
840,1.91463,0.02728
841,1.91456,0.02729
842,1.9145,0.02729
843,1.91444,0.0273
844,1.91438,0.02731
845,1.91431,0.02731
846,1.91425,0.02728
847,1.91419,0.02724
848,1.91413,0.0272
849,1.91406,0.02716
850,1.91395,0.02712
851,1.91383,0.02708
852,1.91371,0.02704
853,1.9136,0.02701
854,1.91348,0.02696
855,1.91336,0.02686
856,1.91325,0.02676
857,1.91313,0.02666
858,1.91301,0.02656
859,1.9129,0.02646
860,1.91277,0.02637
861,1.91261,0.02627
862,1.91246,0.02617
863,1.91231,0.02605
864,1.91216,0.02592
865,1.91201,0.02579
866,1.91185,0.02566
867,1.9117,0.02553
868,1.91155,0.0254
869,1.91143,0.02527
870,1.91137,0.02514
871,1.91132,0.02502
872,1.91127,0.0249
873,1.91121,0.02478
874,1.91116,0.02466
875,1.91111,0.02453
876,1.91105,0.02441
877,1.911,0.02429
878,1.91095,0.02417
879,1.91089,0.0241
880,1.91082,0.02414
881,1.91074,0.02418
882,1.91066,0.02421
883,1.91059,0.02425
884,1.91051,0.02429
885,1.91043,0.02433
886,1.91035,0.02436
887,1.91027,0.02434
888,1.91019,0.02425
889,1.91011,0.02416
890,1.91003,0.02407
891,1.90994,0.02398
892,1.90986,0.02388
893,1.90977,0.02379
894,1.90968,0.0237
895,1.9096,0.02361
896,1.90951,0.02352
897,1.90942,0.02342
898,1.90934,0.02331
899,1.90925,0.02321
900,1.90912,0.0231
901,1.90896,0.023
902,1.9088,0.02289
903,1.90864,0.02279
904,1.90847,0.0227
905,1.90831,0.02263
906,1.90815,0.02255
907,1.90798,0.02248
908,1.90782,0.0224
909,1.90766,0.02233
910,1.90751,0.02226
911,1.9074,0.02218
912,1.90728,0.02219
913,1.90716,0.02222
914,1.90705,0.02226
915,1.90693,0.0223
916,1.90682,0.02233
917,1.9067,0.02237
918,1.90658,0.02241
919,1.90647,0.02244
920,1.90636,0.02248
921,1.9063,0.02233
922,1.90625,0.02218
923,1.90619,0.02202
924,1.90613,0.02187
925,1.90608,0.02172
926,1.90602,0.02157
927,1.90596,0.02142
928,1.90591,0.02127
929,1.90585,0.02114
930,1.90578,0.02104
931,1.90564,0.02093
932,1.9055,0.02083
933,1.90537,0.02073
934,1.90523,0.02062
935,1.90509,0.02052
936,1.90495,0.02042
937,1.90482,0.02035
938,1.90468,0.02036
939,1.90454,0.02036
940,1.9044,0.02037
941,1.90426,0.02038
942,1.90412,0.02038
943,1.90398,0.02039
944,1.90383,0.0204
945,1.90369,0.02036
946,1.90355,0.02031
947,1.90341,0.02026
948,1.90327,0.02021
949,1.90313,0.02016
950,1.90298,0.02011
951,1.90285,0.02006
952,1.90273,0.02001
953,1.90262,0.01996
954,1.9025,0.01989
955,1.90239,0.01978
956,1.90228,0.01966
957,1.90216,0.01955
958,1.90205,0.01944
959,1.90193,0.01933
960,1.90182,0.01921
961,1.90174,0.0191
962,1.90169,0.01902
963,1.90163,0.01895
964,1.90157,0.01888
965,1.90152,0.0188
966,1.90146,0.01873
967,1.90141,0.01866
968,1.90135,0.01859
969,1.90129,0.01852
970,1.90124,0.01849
971,1.90111,0.01849
972,1.90096,0.0185
973,1.90081,0.0185
974,1.90065,0.0185
975,1.9005,0.0185
976,1.90035,0.01851
977,1.9002,0.01851
978,1.90005,0.01851
979,1.8999,0.01851
980,1.89975,0.01843
981,1.8996,0.01829
982,1.8995,0.01815
983,1.89942,0.01802
984,1.89933,0.01788
985,1.89925,0.01774
986,1.89916,0.0176
987,1.89908,0.01746
988,1.89899,0.01732
989,1.89891,0.01718
990,1.89882,0.01718
991,1.89874,0.01722
992,1.89866,0.01725
993,1.89857,0.01729
994,1.89849,0.01733
995,1.89841,0.01737
996,1.89833,0.01741
997,1.89824,0.01744
998,1.89816,0.01748
999,1.89808,0.01752
1000,1.89799,0.01745
1001,1.89792,0.01737
1002,1.89786,0.0173
1003,1.89781,0.01722
1004,1.89775,0.01715
1005,1.89769,0.01707
1006,1.89763,0.01699
1007,1.89758,0.01692
1008,1.89752,0.01684
1009,1.89746,0.01678
1010,1.8974,0.01678
1011,1.89735,0.01678
1012,1.89731,0.01678
1013,1.89726,0.01678
1014,1.89722,0.01678
1015,1.89717,0.01678
1016,1.89713,0.01678
1017,1.89708,0.01678
1018,1.89704,0.01678
1019,1.89699,0.01675
1020,1.89695,0.01667
1021,1.89689,0.01659
1022,1.89681,0.01651
1023,1.89673,0.01643
1024,1.89665,0.01635
1025,1.89656,0.01627
1026,1.89648,0.01619
1027,1.8964,0.01611
1028,1.89631,0.01603
1029,1.89623,0.01599
1030,1.89615,0.01597
1031,1.89607,0.01595
1032,1.89599,0.01593
1033,1.89591,0.01591
1034,1.89583,0.01589
1035,1.89575,0.01587
1036,1.89567,0.01585
1037,1.8956,0.01582
1038,1.89552,0.0158
1039,1.89544,0.01578
1040,1.89536,0.01576
1041,1.89528,0.01574
1042,1.8952,0.01571
1043,1.89512,0.01569
1044,1.89503,0.01567
1045,1.89495,0.01564
1046,1.89487,0.01562
1047,1.89478,0.0156
1048,1.8947,0.01557
1049,1.89462,0.01555
1050,1.89454,0.01551
1051,1.89445,0.01546
1052,1.89442,0.0154
1053,1.8944,0.01534
1054,1.89438,0.01529
