Wavelength (nm),MAPbI3_GQ_n,MAPbI3_GQ_k
714,2.5,0.19
715,2.5,0.19
716,2.5,0.19
717,2.5,0.19
718,2.5,0.19
719,2.5,0.19
720,2.5,0.19
721,2.5,0.19
722,2.5,0.19
723,2.5,0.19
724,2.5,0.19
725,2.5,0.19
726,2.51,0.19
727,2.51,0.19
728,2.51,0.19
729,2.51,0.19
730,2.51,0.18
731,2.51,0.18
732,2.51,0.18
733,2.52,0.18
734,2.52,0.18
735,2.52,0.18
736,2.52,0.18
737,2.52,0.18
738,2.53,0.18
739,2.53,0.18
740,2.53,0.18
741,2.53,0.17
742,2.53,0.17
743,2.54,0.17
744,2.54,0.17
745,2.54,0.17
746,2.54,0.17
747,2.55,0.16
748,2.55,0.16
749,2.55,0.16
750,2.55,0.16
751,2.55,0.15
752,2.56,0.15
753,2.56,0.15
754,2.56,0.14
755,2.56,0.14
756,2.56,0.14
757,2.56,0.13
758,2.57,0.13
759,2.57,0.12
760,2.57,0.12
761,2.57,0.11
762,2.57,0.11
763,2.57,0.1
764,2.57,0.09
765,2.57,0.09
766,2.57,0.08
767,2.57,0.08
768,2.57,0.07
769,2.57,0.07
770,2.56,0.06
771,2.56,0.06
772,2.56,0.05
773,2.55,0.04
774,2.55,0.04
775,2.54,0.04
776,2.54,0.03
777,2.54,0.03
778,2.54,0.03
779,2.53,0.02
780,2.52,0.02
781,2.52,0.02
782,2.51,0.02
783,2.51,0.02
784,2.51,0.02
785,2.51,0.01
786,2.5,0.01
787,2.5,0.01
788,2.49,0.01
789,2.49,0.01
790,2.49,0.01
791,2.48,0.01
792,2.48,0.01
793,2.48,0.01
794,2.48,0.01
795,2.47,0.01
796,2.47,0.01
797,2.47,0.01
798,2.47,0.01
799,2.47,0.01
800,2.46,0.01
801,2.46,0.01
802,2.46,0.01
803,2.46,0.01
804,2.46,0.01
805,2.45,0.01
806,2.45,0.01
807,2.45,0.01
808,2.45,0.01
809,2.45,0.01
810,2.44,0.01
811,2.44,0.01
812,2.44,0.01
813,2.44,0.01
814,2.44,0.01
815,2.44,0.01
816,2.44,0.01
817,2.43,0.01
818,2.43,0.01
819,2.43,0.01
820,2.43,0.01
821,2.43,0.01
822,2.43,0.01
823,2.43,0.01
824,2.43,0.01
825,2.42,0.01
826,2.42,0.01
827,2.42,0.01
828,2.42,0.01
829,2.42,0.01
830,2.42,0.01
831,2.42,0.01
832,2.42,0.01
833,2.41,0.01
834,2.41,0.01
835,2.41,0.01
836,2.41,0.01
837,2.41,0.01
838,2.41,0.01
839,2.41,0.01
840,2.41,0.01
841,2.41,0.01
842,2.4,0.01
843,2.4,0.01
844,2.4,0.01
845,2.4,0.01
846,2.4,0.01
847,2.4,0.01
848,2.4,0.01
849,2.4,0.01
850,2.4,0.01
851,2.4,0.01
852,2.4,0.01
853,2.39,0.01
854,2.39,0.01
855,2.39,0.01
856,2.39,0.01
857,2.39,0.01
858,2.39,0.01
859,2.39,0.01
860,2.39,0.01
861,2.39,0.01
862,2.39,0.01
863,2.39,0.01
864,2.39,0.01
865,2.38,0.01
866,2.38,0.01
867,2.38,0.01
868,2.38,0.01
869,2.38,0.01
870,2.38,0.01
871,2.38,0.01
872,2.38,0.01
873,2.38,0.01
874,2.38,0.01
875,2.38,0.01
876,2.38,0.01
877,2.37,0.01
878,2.37,0.01
879,2.37,0.01
880,2.37,0.01
881,2.37,0.01
882,2.37,0.01
883,2.37,0.01
884,2.37,0.01
885,2.37,0.01
886,2.37,0.01
887,2.37,0.01
888,2.37,0.01
889,2.37,0.01
890,2.37,0.01
891,2.36,0.01
892,2.36,0.01
893,2.36,0.01
894,2.36,0.01
895,2.36,0.01
896,2.36,0.01
897,2.36,0.01
898,2.36,0.01
899,2.36,0.01
900,2.36,0.01
901,2.36,0.01
902,2.36,0.01
903,2.36,0.01
904,2.36,0.01
905,2.36,0.01
906,2.36,0.01
907,2.35,0.01
908,2.35,0.01
909,2.35,0.01
910,2.35,0.01
911,2.35,0.01
912,2.35,0.01
913,2.35,0.01
914,2.35,0.01
915,2.35,0.01
916,2.35,0.01
917,2.35,0.01
918,2.35,0.01
919,2.35,0.01
920,2.35,0.01
921,2.35,0.01
922,2.35,0.01
923,2.35,0.01
924,2.35,0.01
925,2.34,0.01
926,2.34,0.01
927,2.34,0.01
928,2.34,0.01
929,2.34,0
930,2.34,0
931,2.34,0
932,2.34,0
933,2.34,0
934,2.34,0
935,2.34,0
936,2.34,0
937,2.34,0
938,2.34,0
939,2.34,0
940,2.34,0
941,2.34,0
942,2.34,0
943,2.34,0
944,2.33,0
945,2.33,0
946,2.33,0
947,2.33,0
948,2.33,0
949,2.33,0
950,2.33,0
951,2.33,0
952,2.33,0
953,2.33,0
954,2.33,0
955,2.33,0
956,2.33,0
957,2.33,0
958,2.33,0
959,2.33,0
960,2.33,0
961,2.33,0
962,2.33,0
963,2.33,0
964,2.33,0
965,2.32,0
966,2.32,0
967,2.32,0
968,2.32,0
969,2.32,0
970,2.32,0
971,2.32,0
972,2.32,0
973,2.32,0
974,2.32,0
975,2.32,0
976,2.32,0
977,2.32,0
978,2.32,0
979,2.32,0
980,2.32,0
981,2.32,0
982,2.32,0
983,2.32,0
984,2.32,0
985,2.32,0
986,2.32,0
987,2.32,0
988,2.32,0
989,2.32,0
990,2.31,0
991,2.31,0
992,2.31,0
993,2.31,0
994,2.31,0
995,2.31,0
996,2.31,0
997,2.31,0
998,2.31,0
999,2.31,0
1000,2.31,0
1001,2.31,0
1002,2.31,0
1003,2.31,0
1004,2.31,0
1005,2.31,0
1006,2.31,0
1007,2.31,0
1008,2.31,0
1009,2.31,0
1010,2.31,0
1011,2.31,0
1012,2.31,0
1013,2.31,0
1014,2.31,0
1015,2.31,0
1016,2.3,0
1017,2.3,0
1018,2.3,0
1019,2.3,0
1020,2.3,0
1021,2.3,0
1022,2.3,0
1023,2.3,0
1024,2.3,0
1025,2.3,0
1026,2.3,0
1027,2.3,0
1028,2.3,0
1029,2.3,0
1030,2.3,0
1031,2.3,0
1032,2.3,0
1033,2.3,0
1034,2.3,0
1035,2.3,0
1036,2.3,0
1037,2.3,0
1038,2.3,0
1039,2.3,0
1040,2.3,0
1041,2.3,0
1042,2.3,0
1043,2.3,0
1044,2.3,0
1045,2.3,0
1046,2.3,0
1047,2.3,0
1048,2.29,0
1049,2.29,0
1050,2.29,0
1051,2.29,0
1052,2.29,0
1053,2.29,0
1054,2.29,0
1055,2.29,0
1056,2.29,0
1057,2.29,0
1058,2.29,0
1059,2.29,0
1060,2.29,0
1061,2.29,0
